,loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,recoveries,collection_recovery_fee,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,executive,senior,emp_length_yrs,term_yrs,bad_loan,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,sub_grade_A1,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E2,sub_grade_E3,sub_grade_E4,sub_grade_E5,sub_grade_F1,sub_grade_F2,sub_grade_F3,sub_grade_F4,sub_grade_F5,sub_grade_G1,sub_grade_G2,sub_grade_G3,sub_grade_G4,sub_grade_G5,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,pymnt_plan_n,pymnt_plan_y,application_type_INDIVIDUAL,application_type_JOINT
145220,21000.0,16.59,113000.0,12.48,0.0,2.0,4.0,1.0,34421.0,92.0,19.0,0.0,0.0,0.0,0.0,0.0,59970.0,37500.0,0,0,7,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
132132,11225.0,17.57,49000.0,16.9,0.0,1.0,14.0,2.0,16583.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,149755.0,59200.0,0,0,2,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
43814,10000.0,8.9,90000.0,21.11,0.0,0.0,15.0,0.0,30894.0,62.3,30.0,0.0,0.0,0.0,0.0,0.0,80349.0,49900.0,0,0,10,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
175821,35000.0,18.25,225000.0,14.44,0.0,1.0,20.0,0.0,23915.0,58.0,44.0,0.0,0.0,0.0,0.0,0.0,748775.0,41200.0,0,1,10,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
93210,35000.0,22.99,78000.0,32.37,0.0,0.0,15.0,0.0,28234.0,71.7,32.0,0.0,0.0,0.0,0.0,0.0,386978.0,39400.0,0,1,10,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
50407,12000.0,16.29,38000.0,16.52,0.0,0.0,6.0,0.0,8504.0,78.7,10.0,0.0,0.0,0.0,0.0,0.0,9234.0,10800.0,0,0,1,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
120508,6225.0,12.49,35484.8,24.28,0.0,1.0,8.0,0.0,3689.0,28.4,18.0,0.0,0.0,0.0,0.0,0.0,32274.0,13000.0,0,0,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
153948,13000.0,17.57,50000.0,24.7,0.0,0.0,9.0,0.0,16198.0,60.4,26.0,0.0,0.0,0.0,0.0,87.0,217205.0,26800.0,0,0,0,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
46041,20000.0,6.03,90000.0,2.66,0.0,1.0,12.0,0.0,2883.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,120771.0,57800.0,0,0,2,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
14453,8875.0,20.2,59000.0,11.51,0.0,1.0,11.0,0.0,6596.0,58.4,15.0,0.0,0.0,0.0,0.0,0.0,33147.0,11300.0,0,0,4,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
103063,13000.0,14.99,75000.0,18.61,1.0,5.0,13.0,1.0,6286.0,58.0,53.0,0.0,0.0,0.0,0.0,0.0,53323.0,10900.0,0,1,10,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
87917,2500.0,7.9,71000.0,11.78,0.0,3.0,7.0,1.0,224.0,4.4,10.0,0.0,0.0,0.0,0.0,0.0,137419.0,5100.0,0,0,6,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
179913,8000.0,12.29,40000.0,20.62,0.0,0.0,6.0,0.0,8701.0,57.3,14.0,0.0,0.0,0.0,0.0,0.0,26090.0,15100.0,0,1,2,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
188882,15500.0,16.99,40000.0,20.85,0.0,3.0,8.0,0.0,21097.0,75.5,18.0,0.0,0.0,0.0,0.0,0.0,53533.0,91000.0,0,0,2,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
161322,5700.0,14.98,39000.0,21.29,1.0,0.0,10.0,0.0,4714.0,72.5,23.0,0.0,0.0,0.0,0.0,81.0,21487.0,6500.0,0,0,3,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
16104,20000.0,14.3,117000.0,21.81,0.0,1.0,9.0,0.0,25639.0,76.1,22.0,0.0,0.0,0.0,0.0,0.0,223509.0,33700.0,0,1,2,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
162216,15000.0,8.9,46000.0,29.56,0.0,0.0,17.0,1.0,16393.0,36.8,41.0,0.0,0.0,0.0,0.0,0.0,120325.0,44500.0,0,1,10,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
11153,20000.0,7.9,84000.0,6.9,0.0,0.0,16.0,0.0,14319.0,38.7,35.0,0.0,0.0,0.0,0.0,0.0,208730.0,37000.0,0,0,0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
64032,10000.0,21.98,48000.0,26.78,0.0,1.0,9.0,0.0,14128.0,88.9,13.0,0.0,0.0,0.0,0.0,0.0,38888.0,15900.0,0,0,5,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
26524,2700.0,21.15,80000.0,29.28,0.0,2.0,15.0,0.0,9962.0,90.6,48.0,0.0,0.0,0.0,0.0,0.0,151874.0,11000.0,0,0,10,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
34323,7200.0,10.64,110000.0,10.64,0.0,0.0,14.0,0.0,13466.0,39.4,32.0,0.0,0.0,0.0,0.0,0.0,218229.0,34200.0,0,0,10,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
51918,11325.0,12.12,33000.0,25.6,0.0,0.0,10.0,0.0,10211.0,49.1,24.0,0.0,0.0,0.0,0.0,0.0,24954.0,20800.0,0,0,10,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
49601,4500.0,17.77,30000.0,20.72,0.0,0.0,7.0,0.0,4698.0,92.1,37.0,0.0,0.0,0.0,0.0,0.0,7778.0,5100.0,0,0,10,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
53337,18550.0,15.8,42000.0,30.88,0.0,0.0,12.0,0.0,10950.0,72.5,25.0,0.0,0.0,0.0,0.0,0.0,96213.0,15100.0,0,0,2,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
175698,8000.0,11.53,34000.0,16.73,0.0,0.0,7.0,0.0,12027.0,99.4,11.0,0.0,0.0,0.0,0.0,0.0,182418.0,12100.0,0,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
47297,18000.0,18.75,96000.0,25.49,1.0,0.0,14.0,0.0,53911.0,99.5,29.0,0.0,0.0,0.0,0.0,0.0,75308.0,54200.0,0,0,2,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
106853,32000.0,17.57,90000.0,27.89,0.0,1.0,18.0,0.0,23608.0,75.4,36.0,0.0,0.0,0.0,0.0,0.0,234275.0,31300.0,0,1,10,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
183331,16800.0,22.99,75000.0,17.54,0.0,0.0,6.0,1.0,10063.0,83.9,11.0,0.0,0.0,0.0,0.0,0.0,244951.0,12000.0,0,0,3,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
105809,8000.0,12.49,60000.0,22.46,0.0,1.0,6.0,0.0,4711.0,65.4,9.0,0.0,0.0,0.0,0.0,81.0,249697.0,7200.0,0,0,10,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
81543,4000.0,11.14,61000.0,10.05,0.0,1.0,8.0,0.0,4287.0,28.4,17.0,0.0,0.0,0.0,0.0,0.0,17182.0,15100.0,0,0,5,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
156886,23200.0,13.53,99000.0,18.87,0.0,1.0,10.0,0.0,29811.0,58.1,18.0,0.0,0.0,0.0,0.0,0.0,215558.0,51300.0,0,0,6,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
143441,7750.0,17.57,45000.0,25.76,0.0,0.0,16.0,1.0,9603.0,75.0,35.0,1122.76,202.096800001,0.0,0.0,0.0,14140.0,12800.0,0,0,10,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
120642,3000.0,18.24,78000.0,14.48,0.0,4.0,23.0,0.0,14553.0,27.3,43.0,0.0,0.0,0.0,0.0,2246.0,25896.0,53300.0,0,1,10,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
7260,4000.0,17.1,64000.0,24.58,0.0,1.0,12.0,0.0,15484.0,82.4,16.0,0.0,0.0,0.0,0.0,0.0,51767.0,18800.0,0,0,9,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
112702,9550.0,14.99,92000.0,23.18,0.0,2.0,9.0,1.0,3757.0,42.7,37.0,0.0,0.0,0.0,0.0,0.0,135609.0,8800.0,0,0,5,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
64768,9325.0,11.14,27000.0,28.58,0.0,0.0,17.0,0.0,25491.0,49.3,30.0,0.0,0.0,0.0,0.0,0.0,25491.0,51700.0,0,0,10,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
103451,12000.0,7.12,36700.0,18.27,0.0,0.0,10.0,0.0,16344.0,56.6,25.0,0.0,0.0,0.0,0.0,0.0,176660.0,28900.0,0,0,2,3.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
119183,12000.0,13.98,85000.0,17.2,0.0,1.0,13.0,1.0,12842.0,42.5,26.0,0.0,0.0,0.0,0.0,0.0,41239.0,30200.0,0,0,10,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
